lat,lon,day,sst,sss,uo,vo,temp_0m,temp_5m,temp_10m,temp_20m,temp_30m,temp_50m,temp_75m,temp_100m,temp_125m,temp_150m,temp_200m,temp_300m,temp_500m,temp_700m,temp_1000m
7.1667,87.5,17,29.0025,34.1284,-0.0355,-0.0285,29.0108,29.0131,29.0092,28.9845,28.9665,28.9471,27.7693,25.4638,18.9537,16.0608,14.3887,11.559,9.6043,8.9569,7.3318
16.0,68.75,22,28.0008,36.6323,0.1156,-0.1116,28.0841,28.0861,28.0865,28.0846,28.0767,28.065,26.8765,24.1061,20.5123,18.4889,17.0619,13.7272,11.8237,11.1209,9.082
7.0833,83.25,5,27.6783,34.8902,0.3895,0.6586,27.6751,27.6748,27.6737,27.6682,27.6384,27.0825,24.9257,22.9895,18.0584,16.2441,15.1749,11.7674,9.9228,9.1782,7.2868
7.3333,73.8333,25,29.1458,35.6763,0.3437,-0.3967,29.1041,29.1098,29.0934,29.0757,29.0729,27.9273,22.6343,20.9593,17.4882,15.6499,14.1903,11.3165,10.1334,9.5362,7.3479
14.25,55.0,24,26.6042,36.0356,0.3916,-0.1606,26.0538,26.0515,26.0443,25.99,25.5284,24.3904,22.1509,20.9984,18.3337,16.5092,15.4762,13.8799,13.1045,12.2289,10.1359
16.25,57.4167,2,24.7551,35.8598,0.2423,0.3165,24.7566,24.756,24.755,24.7527,24.7481,24.6881,21.9103,20.3828,17.5556,16.2942,15.4054,13.2091,11.9057,11.4509,9.6546
22.5,64.4167,1,27.7385,36.3941,0.0597,0.0144,27.7202,27.7233,27.7249,27.7262,27.7238,24.6328,23.6282,23.1732,21.3258,20.073,18.6533,15.3092,12.7959,11.819,9.5703
9.8333,64.9167,12,28.3403,36.4684,0.063,-0.1422,28.3422,28.3459,28.3457,28.3369,28.322,28.3098,28.0518,26.8092,21.8491,18.9462,16.6942,12.9392,11.1042,10.5771,8.4942
8.8333,85.75,17,29.2901,33.8197,0.8913,-0.0474,29.3137,29.313,29.2972,29.0662,27.1806,26.1784,23.9661,23.0743,19.1134,17.2051,15.1046,11.722,9.7471,8.8376,7.0658
16.75,88.6667,4,29.2784,33.5472,0.6287,0.2472,29.2878,29.2758,29.2233,29.2007,29.1754,28.8529,25.7562,24.0152,19.3097,16.9699,14.9331,11.5826,9.7321,8.9809,7.4217
16.9167,63.0833,5,27.3465,36.3197,0.1062,-0.1057,27.3489,27.3501,27.3509,27.352,27.3528,27.3533,27.294,26.0464,22.2631,20.1901,18.2565,14.7109,12.2955,11.4595,9.4202
15.9167,53.75,21,25.1706,35.9288,0.5093,-0.1049,25.3281,25.2838,24.8533,21.0795,18.8228,17.8067,17.0413,16.7158,15.8334,15.3811,14.9009,13.6503,12.1202,11.2462,9.2658
12.8333,87.1667,21,29.2725,33.5753,0.0885,0.0923,29.2985,29.2999,29.3001,29.2975,27.4034,24.852,22.3504,21.5221,18.5951,16.7965,14.8536,11.4509,9.6367,8.9224,7.2016
15.9167,89.1667,21,29.0766,33.5336,0.5055,-0.4922,29.0647,29.0674,29.0689,29.0704,29.07,28.9962,26.0836,24.2089,19.2323,17.0173,15.0777,11.5923,9.7128,8.9302,7.2676
11.0,82.4167,16,29.5064,33.7757,-0.1286,-0.1235,29.4515,29.4539,29.4497,29.4224,29.4028,28.0477,24.5422,22.3829,17.0271,15.1323,13.6833,11.1374,9.5361,8.8701,7.306
8.5,90.6667,5,29.3109,32.9029,0.0324,-0.138,29.2982,29.3048,29.3079,29.3105,29.3115,29.2942,25.9648,23.8612,18.3189,15.8858,14.1254,11.6144,9.6684,8.7999,7.1163
16.75,83.6667,7,29.2883,33.5489,-0.0556,-0.336,29.2687,29.2687,29.2636,28.8786,28.1,26.3125,23.7034,22.2246,18.4415,16.285,14.4366,11.0102,9.2673,8.5454,6.8303
8.5,58.4167,2,27.5927,35.9757,0.0784,0.0158,27.5782,27.5796,27.5791,27.5757,27.5667,27.5382,27.4686,27.2874,23.6424,20.0887,17.2338,12.7558,10.9906,10.3905,8.2121
16.75,91.9167,14,28.7415,31.4483,0.0249,0.07,28.7306,28.7335,28.7351,28.7383,28.8014,27.8247,23.6399,21.9088,17.6021,15.3428,13.678,11.066,9.4492,8.6826,7.0432
6.9167,87.0,14,28.967,34.1349,-0.1558,-0.1064,28.9552,28.9579,28.9589,28.958,28.9518,28.9401,27.8518,24.7474,18.6231,16.2727,14.5053,11.6734,9.5214,8.8925,7.2197
7.25,75.6667,20,28.9208,35.4617,0.0346,-0.1689,28.925,28.9098,28.8703,28.8273,28.6402,26.0217,20.533,18.1193,15.5656,14.6056,13.414,11.677,10.16,9.1661,7.6597
13.6667,68.9167,25,28.1958,36.6642,0.142,-0.1269,28.1806,28.1805,28.172,28.1377,28.1125,28.0919,26.7204,24.3361,21.6547,19.7808,17.7282,13.3377,11.7038,10.7514,8.3733
10.3333,60.1667,10,27.2949,36.0463,0.0807,-0.0326,27.2894,27.2898,27.2888,27.2839,27.2685,27.2295,27.15,27.168,24.8639,21.941,18.5958,13.4787,11.4068,10.9325,9.2789
10.8333,90.0833,1,29.5187,33.6358,-0.1082,0.1208,29.5373,29.4995,29.4553,29.4019,29.3666,29.2786,27.7652,25.7376,20.8393,18.1685,15.6082,11.7134,9.5975,8.6658,7.2059
12.3333,68.8333,17,28.4705,36.5525,0.0437,-0.1256,28.4689,28.4693,28.4477,28.4142,28.3933,28.3747,27.9693,25.5167,21.4463,19.2484,17.0381,13.0027,11.3466,10.5027,8.0275
